model,series,horizon,n,mae,rmse,smape,mase
naive,navigli,1,241,187.91947918017377,248.71346785639858,9.826920118931811,0.42990793695884
naive,navigli,6,241,739.3990635535529,898.4742789580664,39.22253142574636,1.6915411185065856
naive,navigli,24,241,308.4627736198457,414.1190899686343,15.519108801753607,0.7056777467351585
sarima,bocconi,1,241,55.69274878170792,83.16378007122935,9.142337640800523,0.1046955394951527
sarima,bocconi,6,241,274.35281778506146,411.9811818482593,32.664800479989445,0.5157496603840906
sarima,bocconi,24,241,595.0441873728805,684.0478517724541,67.7492173564258,1.1186101168150666
sarima,business,1,241,184.32959650247784,252.59540068125213,6.885027644052598,0.17939477302626333
sarima,business,6,241,929.4497593797888,1277.3240677933186,26.254640421423247,0.9045667748804024
sarima,business,24,241,2194.8674152289764,2436.823649441432,58.50823139753438,2.1361070020703403
sarima,business-2,1,241,732.4670704068827,1158.6731177533345,15.936368131173124,0.4118160185979177
sarima,business-2,6,241,2211.170626285681,3454.3345350981826,43.41110832274969,1.2431896539073095
sarima,business-2,24,241,2928.2055931585974,4667.731785933722,55.852799709998656,1.6463292586530405
sarima,duomo,1,241,263.324174978401,489.7696957116937,11.063066491210114,0.4104727785813085
sarima,duomo,6,241,848.8673097398965,1294.9526708242197,34.365701613913984,1.323224209491422
sarima,duomo,24,241,1098.2510353519797,1594.0770089636587,44.1269583578042,1.7119664538878845
sarima,mixed_suburban,1,241,301.0737814993726,379.02444738455154,8.904516195113425,0.4870775684680526
sarima,mixed_suburban,6,241,1215.3740145951322,1396.1130734384506,30.222601306000875,1.9662337147397408
sarima,mixed_suburban,24,241,1979.1588085681708,2189.614229628135,45.8968613865223,3.2018857812483463
sarima,mixed_suburban-2,1,241,362.4674874647391,443.2392156150043,13.3605975936346,0.6338648726566057
sarima,mixed_suburban-2,6,241,1462.9963119017525,1609.299818337241,43.88903299739779,2.5584142109598176
sarima,mixed_suburban-2,24,241,2005.973781600266,2156.5548293055235,57.372110993733216,3.5079458423156797
sarima,navigli,1,241,246.56097496744056,299.4582954562695,11.936236771217201,0.5640635049929184
sarima,navigli,6,241,996.7817255157516,1086.55710939584,40.27380625399967,2.280361658537209
sarima,navigli,24,241,1338.6652225528094,1436.9496622148547,51.702129551171616,3.062496802444004
seasonal_naive,bocconi,1,241,138.22960577367252,185.98337038095661,21.394394390915444,0.25985471120129383
seasonal_naive,bocconi,6,241,144.0275749744716,192.27329571720531,22.722976397637524,0.2707541824382623
seasonal_naive,bocconi,24,241,135.50760305570864,181.1046211156557,22.92125263833711,0.254737679822909
seasonal_naive,business,1,241,474.92104076844527,649.2502366741583,15.614846757867632,0.4622065795760949
seasonal_naive,business,6,241,473.11977731538514,648.661712448368,15.659071357888713,0.46045353907444175
seasonal_naive,business,24,241,438.1369856838369,589.3414207257558,15.966008126856575,0.42640729753947315
seasonal_naive,business-2,1,241,2420.4760724459447,4221.749068553685,39.41907196077916,1.3608677571163716
seasonal_naive,business-2,6,241,2427.7051044638224,4223.042776152261,40.21917361747263,1.3649321462257218
seasonal_naive,business-2,24,241,2604.7452729411143,4350.445565876341,44.7861548901855,1.464469695775523
seasonal_naive,duomo,1,241,884.2532650009725,1506.691295019046,31.595639446917247,1.3783842470381422
seasonal_naive,duomo,6,241,913.3493781505284,1531.7442070484037,33.28245088072849,1.4237396057377147
seasonal_naive,duomo,24,241,1005.7705650487876,1637.3881264689635,36.815428059525445,1.5678068239831437
seasonal_naive,mixed_suburban,1,241,553.7142308658584,714.5740885476201,15.354152295469389,0.8957996270985896
