model,day_type,hour,rel_err
lightgbm,holiday,22,0.5366619458620704
lightgbm,holiday,23,0.5124906456758386
lightgbm,weekday,0,0.1956246914675881
lightgbm,weekday,1,0.17739223445802915
lightgbm,weekday,2,0.18474400569482086
lightgbm,weekday,3,0.20717474020300333
lightgbm,weekday,4,0.2168357916029634
lightgbm,weekday,5,0.21852342015147783
lightgbm,weekday,6,0.22707050075038113
lightgbm,weekday,7,0.3132415508682395
lightgbm,weekday,8,0.49550608010726876
lightgbm,weekday,9,0.5898414564693667
lightgbm,weekday,10,0.5855984028341098
lightgbm,weekday,11,0.6343233410591147
lightgbm,weekday,12,0.6931550606702508
lightgbm,weekday,13,0.7100573018302767
lightgbm,weekday,14,0.7137418404625264
lightgbm,weekday,15,0.7136901450540555
lightgbm,weekday,16,0.6912696385667283
lightgbm,weekday,17,0.6389697145761422
lightgbm,weekday,18,0.6141912674320639
lightgbm,weekday,19,0.6197056385035461
lightgbm,weekday,20,0.5932223339871188
lightgbm,weekday,21,0.5358037895862865
lightgbm,weekday,22,0.5122887658109411
lightgbm,weekday,23,0.4799096720416552
lightgbm,weekend,0,0.11650543425279755
lightgbm,weekend,1,0.0915830971090017
lightgbm,weekend,2,0.1154473414894722
lightgbm,weekend,3,0.16063390576474457
lightgbm,weekend,4,0.18301062432327397
lightgbm,weekend,5,0.18922113297398788
lightgbm,weekend,6,0.19713309418039815
lightgbm,weekend,7,0.19256834512578375
lightgbm,weekend,8,0.24234588252823955
lightgbm,weekend,9,0.2559060495480398
lightgbm,weekend,10,0.26632805508383783
lightgbm,weekend,11,0.287373053726183
lightgbm,weekend,12,0.3311066086304928
lightgbm,weekend,13,0.38249319626717504
lightgbm,weekend,14,0.33872885025071814
lightgbm,weekend,15,0.3133639564012953
lightgbm,weekend,16,0.3190947494397064
lightgbm,weekend,17,0.3055067318173687
lightgbm,weekend,18,0.3076302554493426
lightgbm,weekend,19,0.26387488655628355
lightgbm,weekend,20,0.24670863889221364
lightgbm,weekend,21,0.24810007947496712
lightgbm,weekend,22,0.22537386756324182
lightgbm,weekend,23,0.24755385560576215
naive,holiday,0,0.3122772693196168
naive,holiday,1,0.22454115738553596
naive,holiday,2,0.21064325584853544
naive,holiday,3,0.20770512757020826
naive,holiday,4,0.21664090410269332
naive,holiday,5,0.22730107453592258
naive,holiday,6,0.1199392776993692
naive,holiday,7,0.11948943041112811
naive,holiday,8,0.12899393781914756
naive,holiday,9,0.19241273520913363
naive,holiday,10,0.28289707919569224
naive,holiday,11,0.35702459430325395
naive,holiday,12,0.3972185190566478
naive,holiday,13,0.37415494138577565
naive,holiday,14,0.3554386469613443
naive,holiday,15,0.3258309270263996
naive,holiday,16,0.3128107569037273
naive,holiday,17,0.2713392107907362
naive,holiday,18,0.21593874015086836
naive,holiday,19,0.13273086439901455
naive,holiday,20,0.11405440870642075
naive,holiday,21,0.12956692229429362
naive,holiday,22,0.17752955397415204
naive,holiday,23,0.2223567971903577
naive,weekday,0,0.3752108007831071
naive,weekday,1,0.29853948044653195
naive,weekday,2,0.2518522833152638
naive,weekday,3,0.22171973147152857
naive,weekday,4,0.20005977198056632
naive,weekday,5,0.16167664476732466
naive,weekday,6,0.12059944736368079
naive,weekday,7,0.111824614589737
naive,weekday,8,0.22174285967681073
naive,weekday,9,0.3427778024874288
naive,weekday,10,0.453535284720491
naive,weekday,11,0.5661842205268552
naive,weekday,12,0.6254813002643527
naive,weekday,13,0.5850217088606098
naive,weekday,14,0.4828018673040847
naive,weekday,15,0.4445115702512072
naive,weekday,16,0.39907980523251574
naive,weekday,17,0.3191285219501873
naive,weekday,18,0.28984797242369026
naive,weekday,19,0.3561622680882539
naive,weekday,20,0.351758124543248
naive,weekday,21,0.34186571970904395
naive,weekday,22,0.3730323292434032
naive,weekday,23,0.37449107516644686
naive,weekend,0,0.3154900486668643
naive,weekend,1,0.24762784713462696
naive,weekend,2,0.22735854672228398
naive,weekend,3,0.19941833392472091
naive,weekend,4,0.1864810166734853
naive,weekend,5,0.24809741197629756
naive,weekend,6,0.1894987571254388
naive,weekend,7,0.14226367814950344
naive,weekend,8,0.1081185529378975
naive,weekend,9,0.16738680849931337
naive,weekend,10,0.33708260108274396
naive,weekend,11,0.4913361835013889
naive,weekend,12,0.539072768829589
naive,weekend,13,0.5249936823514804
naive,weekend,14,0.5034584096638366
naive,weekend,15,0.503042544909397
naive,weekend,16,0.4831730918297236
naive,weekend,17,0.32563395924704946
naive,weekend,18,0.21613837691199467
naive,weekend,19,0.28017290709086484
naive,weekend,20,0.34716821960049055
naive,weekend,21,0.3848711556996795
naive,weekend,22,0.4370829934310721
naive,weekend,23,0.455089438817751
sarima,holiday,0,0.44230854454692065
sarima,holiday,1,0.27189239111029706
sarima,holiday,2,0.207048660578181
sarima,holiday,3,0.17486318134183523
sarima,holiday,4,0.14612172111639168
sarima,holiday,5,0.13943843005349363
sarima,holiday,6,0.1731106318476954
sarima,holiday,7,0.3485853651274612
sarima,holiday,8,0.6030844757859526
sarima,holiday,9,0.7289787466125438
sarima,holiday,10,0.8151653755798526
sarima,holiday,11,0.902585147684229
sarima,holiday,12,0.9398805630092344
sarima,holiday,13,0.9949757474761752
sarima,holiday,14,0.8386447293117562
sarima,holiday,15,0.7641274511023753
sarima,holiday,16,0.7536891579834953
sarima,holiday,17,0.7004049224253193
sarima,holiday,18,0.6712778503185439
sarima,holiday,19,0.5900789591456577
sarima,holiday,20,0.5156898521084394
sarima,holiday,21,0.5094454215224012
sarima,holiday,22,0.4905993969907888
