model,reference,series,horizon,dm_stat,p_value,better
seasonal_naive,lightgbm,duomo,1,6.902672811207097,4.5223727178533286e-11,reference
seasonal_naive,lightgbm,duomo,6,-0.23470709073203536,0.8146362011615045,model
seasonal_naive,lightgbm,duomo,24,0.18145259453778995,0.8561654900164876,reference
seasonal_naive,lightgbm,mixed_suburban,1,-0.5095946979267059,0.6108036943754287,model
seasonal_naive,lightgbm,mixed_suburban,6,-4.713934163069961,4.12050652524647e-06,model
seasonal_naive,lightgbm,mixed_suburban,24,-3.4491612285489013,0.0006640791382301688,model
seasonal_naive,lightgbm,mixed_suburban-2,1,-8.669426715354,6.590102159566273e-16,model
seasonal_naive,lightgbm,mixed_suburban-2,6,-7.18912996059648,8.224338226511874e-12,model
seasonal_naive,lightgbm,mixed_suburban-2,24,-6.916769128684137,4.1627346128058515e-11,model
seasonal_naive,lightgbm,navigli,1,-10.109913251922855,3.018817072525416e-20,model
seasonal_naive,lightgbm,navigli,6,-7.5915468609689105,6.991648777905144e-13,model
seasonal_naive,lightgbm,navigli,24,-6.107178793084587,4.0546483200328786e-09,model
weekly_naive,lightgbm,bocconi,1,15.840572168597607,3.623135098222354e-39,reference
weekly_naive,lightgbm,bocconi,6,0.750903084977876,0.45344659239636087,reference
weekly_naive,lightgbm,bocconi,24,2.415492816531564,0.01646203342465098,reference
weekly_naive,lightgbm,business,1,18.636892420092433,1.5253621083783987e-48,reference
weekly_naive,lightgbm,business,6,2.3561344532320634,0.019271174583567818,reference
weekly_naive,lightgbm,business,24,2.862561841643551,0.004573645021076018,reference
weekly_naive,lightgbm,business-2,1,11.15093385252409,1.5327773423424938e-23,reference
weekly_naive,lightgbm,business-2,6,2.048299302671939,0.041618877511382726,reference
weekly_naive,lightgbm,business-2,24,2.2113868224527273,0.027952111787112353,reference
weekly_naive,lightgbm,duomo,1,10.655322970119897,5.85656207391073e-22,reference
weekly_naive,lightgbm,duomo,6,1.8725565639169466,0.062345528264184165,reference
weekly_naive,lightgbm,duomo,24,2.044769839457814,0.04196866660760023,reference
weekly_naive,lightgbm,mixed_suburban,1,22.95246808315327,1.796832811204739e-62,reference
weekly_naive,lightgbm,mixed_suburban,6,2.8920582077131454,0.0041786703913865,reference
weekly_naive,lightgbm,mixed_suburban,24,3.7698512010750913,0.00020569762342216138,reference
weekly_naive,lightgbm,mixed_suburban-2,1,19.319443947787185,8.465854887556837e-51,reference
weekly_naive,lightgbm,mixed_suburban-2,6,2.888783005142498,0.004220936784537553,reference
weekly_naive,lightgbm,mixed_suburban-2,24,2.4878321886713577,0.01353229370356263,reference
weekly_naive,lightgbm,navigli,1,16.996339709707485,4.61480938813653e-43,reference
weekly_naive,lightgbm,navigli,6,1.0871171360431262,0.2780756317452033,reference
weekly_naive,lightgbm,navigli,24,2.374747125093163,0.018348049452040296,reference
sarima,lightgbm,bocconi,1,-12.936621308093866,2.140151464453263e-29,model
sarima,lightgbm,bocconi,6,-4.074701151849408,6.264889475280688e-05,model
sarima,lightgbm,bocconi,24,2.957969233743224,0.0034061655208877093,reference
sarima,lightgbm,business,1,-17.069534602484985,2.6193570542105763e-43,model
sarima,lightgbm,business,6,-4.583909744318049,7.345158858751159e-06,model
sarima,lightgbm,business,24,2.5459089251204476,0.01152580299165136,reference
sarima,lightgbm,business-2,1,-4.957912374397404,1.3478803034419948e-06,model
sarima,lightgbm,business-2,6,-1.0381104210953858,0.3002633998144029,model
sarima,lightgbm,business-2,24,1.103185286472817,0.27105164341528326,reference
sarima,lightgbm,duomo,1,-7.543266113236556,9.43701316504643e-13,model
sarima,lightgbm,duomo,6,-0.9606868706290703,0.33767649089280605,model
sarima,lightgbm,duomo,24,1.0055693215372286,0.3156355375742801,reference
sarima,lightgbm,mixed_suburban,1,-10.031057196180477,5.303958935254886e-20,model
sarima,lightgbm,mixed_suburban,6,0.03033277487912687,0.9758268668669999,reference
sarima,lightgbm,mixed_suburban,24,5.381129729938702,1.7581604980886396e-07,reference
sarima,lightgbm,mixed_suburban-2,1,-17.639550114012295,3.212007298042727e-45,model
sarima,lightgbm,mixed_suburban-2,6,0.8807001119304557,0.3793612281827168,reference
sarima,lightgbm,mixed_suburban-2,24,7.3563862130136295,2.9811761255894755e-12,reference
sarima,lightgbm,navigli,1,-17.496891709109995,9.647886110143018e-45,model
sarima,lightgbm,navigli,6,-0.609740220940196,0.5426107456168856,model
sarima,lightgbm,navigli,24,14.317880203925611,5.006763962476159e-34,reference
gru,lightgbm,bocconi,1,0.5544518283644604,0.579785957416669,reference
gru,lightgbm,bocconi,6,4.392207746030417,1.683974227080218e-05,reference
gru,lightgbm,bocconi,24,6.162349996989474,3.00395773857157e-09,reference
gru,lightgbm,business,1,-0.06847038618074665,0.9454682038876958,model
gru,lightgbm,business,6,5.21006435380897,4.064652557355171e-07,reference
gru,lightgbm,business,24,4.6969267835761,4.447242379559259e-06,reference
gru,lightgbm,business-2,1,-0.6172392933781948,0.5376620504550492,model
gru,lightgbm,business-2,6,1.3292673377856217,0.1850219807523904,reference
gru,lightgbm,business-2,24,1.7333468123469729,0.084318393421882,reference
gru,lightgbm,duomo,1,-2.5281963914003143,0.012107594504999115,model
gru,lightgbm,duomo,6,1.6855743181461202,0.09317747662439538,reference
gru,lightgbm,duomo,24,1.095498117645281,0.2743965837360269,reference
gru,lightgbm,mixed_suburban,1,3.5604916885612483,0.0004462062737345632,reference
gru,lightgbm,mixed_suburban,6,3.552658942765925,0.0004590134123118613,reference
gru,lightgbm,mixed_suburban,24,4.8501234368727735,2.2198453129550753e-06,reference
gru,lightgbm,mixed_suburban-2,1,0.36437403936093454,0.7158995481075083,reference
gru,lightgbm,mixed_suburban-2,6,7.594176493391273,6.878144979317011e-13,reference
gru,lightgbm,mixed_suburban-2,24,5.365877790195413,1.8960798023743423e-07,reference
gru,lightgbm,navigli,1,6.632506817149612,2.1677838123769254e-10,reference
gru,lightgbm,navigli,6,9.74991687033229,3.8996519161914006e-19,reference
gru,lightgbm,navigli,24,10.19964515362077,1.5864380734831794e-20,reference
